TITLE,RELEASED,IMDB__RATING,IMDB__VOTES,GENRES,partition_date
Aadukalam,2011-01-13 16:00:00-08:00,7.9,1898.0,Action,2011-01-01
Season of the Witch,2011-01-06 16:00:00-08:00,5.4,71597.0,Adventure,2011-01-01
Superheroes,2011-01-20 16:00:00-08:00,6.5,1505.0,Comedy,2011-01-01
The Mechanic,2011-01-27 16:00:00-08:00,6.6,109066.0,Crime,2011-01-01
Superheroes,2011-01-20 16:00:00-08:00,6.5,1505.0,Documentary,2011-01-01
Aadukalam,2011-01-13 16:00:00-08:00,7.9,1898.0,Drama,2011-01-01
Season of the Witch,2011-01-06 16:00:00-08:00,5.4,71597.0,Fantasy,2011-01-01
Aadukalam,2011-01-13 16:00:00-08:00,7.9,1898.0,Romance,2011-01-01
The Mechanic,2011-01-27 16:00:00-08:00,6.6,109066.0,Thriller,2011-01-01
The Border,2011-01-27 16:00:00-08:00,6.3,1228.0,War,2011-01-01
Drive Angry,2011-02-24 16:00:00-08:00,5.5,77741.0,Comedy,2011-02-01
All-Star Superman,2011-02-21 16:00:00-08:00,7.0,8346.0,Sci-Fi,2011-02-01
The Eagle,2011-02-10 16:00:00-08:00,6.2,49716.0,Drama,2011-02-01
Cat Shit One,2011-02-04 16:00:00-08:00,7.1,897.0,Action,2011-02-01
Unknown,2011-02-17 16:00:00-08:00,6.9,197247.0,Thriller,2011-02-01
Cat Shit One,2011-02-04 16:00:00-08:00,7.1,897.0,Animation,2011-02-01
"Big Mommas: Like Father, Like Son",2011-02-17 16:00:00-08:00,4.3,17806.0,Crime,2011-02-01
Drive Angry,2011-02-24 16:00:00-08:00,5.5,77741.0,Fantasy,2011-02-01
Cat Shit One,2011-02-04 16:00:00-08:00,7.1,897.0,Short,2011-02-01
Unknown,2011-02-17 16:00:00-08:00,6.9,197247.0,Mystery,2011-02-01
The Eagle,2011-02-10 16:00:00-08:00,6.2,49716.0,Adventure,2011-02-01
Outbound,2011-03-23 17:00:00-07:00,6.7,616.0,Drama,2011-03-01
Sucker Punch,2011-03-24 17:00:00-07:00,6.1,184839.0,Adventure,2011-03-01
Paths of Hate,2011-03-26 17:00:00-07:00,7.5,485.0,Action,2011-03-01
Paths of Hate,2011-03-26 17:00:00-07:00,7.5,485.0,Animation,2011-03-01
"The Butcher, the Chef, and the Swordsman",2011-03-17 17:00:00-07:00,5.8,512.0,Comedy,2011-03-01
Route Irish,2011-03-15 17:00:00-07:00,6.4,3205.0,Thriller,2011-03-01
Paths of Hate,2011-03-26 17:00:00-07:00,7.5,485.0,Short,2011-03-01
Red Riding Hood,2011-03-10 16:00:00-08:00,5.4,83514.0,Mystery,2011-03-01
Torrente 4,2011-03-10 16:00:00-08:00,5.4,3286.0,Crime,2011-03-01
Beastly,2011-03-03 16:00:00-08:00,5.6,59038.0,Romance,2011-03-01
Barbie: A Fairy Secret,2011-03-14 17:00:00-07:00,5.4,641.0,Family,2011-03-01
Sucker Punch,2011-03-24 17:00:00-07:00,6.1,184839.0,Fantasy,2011-03-01
Battle Los Angeles,2011-03-10 16:00:00-08:00,5.8,148522.0,Sci-Fi,2011-03-01
Red Riding Hood,2011-03-10 16:00:00-08:00,5.4,83514.0,Horror,2011-03-01
Sien nui yau wan,2011-04-27 17:00:00-07:00,5.7,913.0,Fantasy,2011-04-01
Hanna,2011-04-07 17:00:00-07:00,6.8,149563.0,Adventure,2011-04-01
The Lost Bladesman,2011-04-27 17:00:00-07:00,6.0,2881.0,Biography,2011-04-01
Mr Perfect,2011-04-20 17:00:00-07:00,7.0,1483.0,Drama,2011-04-01
Fast Five,2011-04-28 17:00:00-07:00,7.4,260163.0,Crime,2011-04-01
"Wild Horse, Wild Ride",2011-04-30 17:00:00-07:00,7.2,160.0,Documentary,2011-04-01
Ko,2011-04-21 17:00:00-07:00,7.8,2905.0,Action,2011-04-01
Your Highness,2011-04-07 17:00:00-07:00,5.6,81488.0,Comedy,2011-04-01
Ko,2011-04-21 17:00:00-07:00,7.8,2905.0,Thriller,2011-04-01
Mr Perfect,2011-04-20 17:00:00-07:00,7.0,1483.0,Romance,2011-04-01
"Wild Horse, Wild Ride",2011-04-30 17:00:00-07:00,7.2,160.0,Western,2011-04-01
Priest,2011-05-12 17:00:00-07:00,5.7,91219.0,Horror,2011-05-01
Kung Fu Panda 2,2011-05-25 17:00:00-07:00,7.3,154680.0,Action,2011-05-01
Attack the Block,2011-05-12 17:00:00-07:00,6.6,75227.0,Sci-Fi,2011-05-01
The Tree of Life,2011-05-16 17:00:00-07:00,6.7,126260.0,Drama,2011-05-01
Kung Fu Panda 2,2011-05-25 17:00:00-07:00,7.3,154680.0,Adventure,2011-05-01
Thor,2011-05-05 17:00:00-07:00,7.0,468024.0,Fantasy,2011-05-01
Attack the Block,2011-05-12 17:00:00-07:00,6.6,75227.0,Comedy,2011-05-01
Kung Fu Panda 2,2011-05-25 17:00:00-07:00,7.3,154680.0,Animation,2011-05-01
Shaitan,2011-06-09 17:00:00-07:00,7.4,4561.0,Drama,2011-06-01
X-Men: First Class,2011-06-02 17:00:00-07:00,7.8,461512.0,Action,2011-06-01
Green Lantern: Emerald Knights,2011-06-06 17:00:00-07:00,6.9,7684.0,Animation,2011-06-01
My Babysitter's a Vampire,2011-06-09 17:00:00-07:00,6.4,1959.0,Comedy,2011-06-01
Shaitan,2011-06-09 17:00:00-07:00,7.4,4561.0,Crime,2011-06-01
X-Men: First Class,2011-06-02 17:00:00-07:00,7.8,461512.0,Adventure,2011-06-01
Catatan (Harian) si Boy,2011-06-30 17:00:00-07:00,7.3,96.0,Romance,2011-06-01
My Babysitter's a Vampire,2011-06-09 17:00:00-07:00,6.4,1959.0,Fantasy,2011-06-01
Falling Skies,2011-06-18 17:00:00-07:00,7.3,67100.0,Thriller,2011-06-01
Mr. Popper's Penguins,2011-06-16 17:00:00-07:00,6.0,61302.0,Family,2011-06-01
Blackthorn,2011-06-30 17:00:00-07:00,6.6,6705.0,Western,2011-06-01
X-Men: First Class,2011-06-02 17:00:00-07:00,7.8,461512.0,Sci-Fi,2011-06-01
Dragon,2011-07-03 17:00:00-07:00,7.1,9936.0,Crime,2011-07-01
Don't Hug Me I'm Scared,2011-07-24 17:00:00-07:00,7.3,264.0,Short,2011-07-01
Cowboys & Aliens,2011-07-28 17:00:00-07:00,6.0,160726.0,Thriller,2011-07-01
The Sandman,2011-07-20 17:00:00-07:00,7.0,492.0,Comedy,2011-07-01
Harry Potter and the Deathly Hallows: Part 2,2011-07-14 17:00:00-07:00,8.1,470311.0,Drama,2011-07-01
Harry Potter and the Deathly Hallows: Part 2,2011-07-14 17:00:00-07:00,8.1,470311.0,Adventure,2011-07-01
Harry Potter and the Deathly Hallows: Part 2,2011-07-14 17:00:00-07:00,8.1,470311.0,Fantasy,2011-07-01
Dragon,2011-07-03 17:00:00-07:00,7.1,9936.0,Action,2011-07-01
"A Fairly Odd Movie: Grow Up, Timmy Turner!",2011-07-08 17:00:00-07:00,5.0,1990.0,Family,2011-07-01
Don't Hug Me I'm Scared,2011-07-24 17:00:00-07:00,7.3,264.0,Animation,2011-07-01
Captain America: The First Avenger,2011-07-21 17:00:00-07:00,6.8,432015.0,Sci-Fi,2011-07-01
Dos,2011-08-31 17:00:00-07:00,5.8,260.0,Fantasy,2011-08-01
Rise of the Planet of the Apes,2011-08-04 17:00:00-07:00,7.6,370410.0,Drama,2011-08-01
Hindsight,2011-08-30 17:00:00-07:00,6.4,777.0,Romance,2011-08-01
30 Minutes or Less,2011-08-11 17:00:00-07:00,6.2,73352.0,Comedy,2011-08-01
War of the Arrows,2011-08-09 17:00:00-07:00,7.2,7815.0,History,2011-08-01
Don't Be Afraid of the Dark,2011-08-25 17:00:00-07:00,5.6,38827.0,Horror,2011-08-01
Mankatha,2011-08-30 17:00:00-07:00,7.5,7581.0,Crime,2011-08-01
Mankatha,2011-08-30 17:00:00-07:00,7.5,7581.0,Thriller,2011-08-01
Phineas and Ferb the Movie: Across the 2nd Dimension,2011-08-04 17:00:00-07:00,7.6,3794.0,Adventure,2011-08-01
Phineas and Ferb the Movie: Across the 2nd Dimension,2011-08-04 17:00:00-07:00,7.6,3794.0,Animation,2011-08-01
Rise of the Planet of the Apes,2011-08-04 17:00:00-07:00,7.6,370410.0,Action,2011-08-01
Rise of the Planet of the Apes,2011-08-04 17:00:00-07:00,7.6,370410.0,Sci-Fi,2011-08-01
Saheb Biwi Aur Gangster,2011-09-22 17:00:00-07:00,7.2,2536.0,Drama,2011-09-01
1911,2011-09-22 17:00:00-07:00,6.0,4444.0,Adventure,2011-09-01
Dookudu,2011-09-22 17:00:00-07:00,7.7,8089.0,Comedy,2011-09-01
Saheb Biwi Aur Gangster,2011-09-22 17:00:00-07:00,7.2,2536.0,Crime,2011-09-01
Love's Resounding Courage,2011-09-30 17:00:00-07:00,6.8,436.0,Western,2011-09-01
Dookudu,2011-09-22 17:00:00-07:00,7.7,8089.0,Action,2011-09-01
The Man from the Future,2011-09-01 17:00:00-07:00,7.2,2998.0,Sci-Fi,2011-09-01
Red State,2011-09-29 17:00:00-07:00,6.2,49966.0,Horror,2011-09-01
Killer Elite,2011-09-22 17:00:00-07:00,6.5,99149.0,Thriller,2011-09-01
The Man from the Future,2011-09-01 17:00:00-07:00,7.2,2998.0,Fantasy,2011-09-01
Spooky Buddies,2011-09-19 17:00:00-07:00,4.7,917.0,Family,2011-09-01
Abduction,2011-09-22 17:00:00-07:00,5.0,60924.0,Mystery,2011-09-01
The Three Musketeers,2011-10-20 17:00:00-07:00,5.8,83514.0,Romance,2011-10-01
Johnny English Reborn,2011-10-20 17:00:00-07:00,6.3,83196.0,Adventure,2011-10-01
Real Steel,2011-10-06 17:00:00-07:00,7.1,236271.0,Drama,2011-10-01
Hell and Back Again,2011-10-04 17:00:00-07:00,6.5,1871.0,Documentary,2011-10-01
Hell and Back Again,2011-10-04 17:00:00-07:00,6.5,1871.0,History,2011-10-01
Logorama,2011-10-04 17:00:00-07:00,7.6,4447.0,Animation,2011-10-01
Real Steel,2011-10-06 17:00:00-07:00,7.1,236271.0,Sci-Fi,2011-10-01
Batman: Year One,2011-10-17 17:00:00-07:00,7.4,17746.0,Crime,2011-10-01
Johnny English Reborn,2011-10-20 17:00:00-07:00,6.3,83196.0,Comedy,2011-10-01
Logorama,2011-10-04 17:00:00-07:00,7.6,4447.0,Action,2011-10-01
In Time,2011-10-27 17:00:00-07:00,6.7,275108.0,Thriller,2011-10-01
